Beer,Brewery,Location,Style,Size,ABV,IBUs
Fisherman's Brew,Cape Ann Brewing Company,"Gloucester, MA",American Amber / Red Ale,12 oz.,5.50%,30
Count Hopula (Vault Series),SanTan Brewing Company,"Chandler, AZ",American Double / Imperial IPA,16 oz.,9.10%,99
Noche Dulce,Borderlands Brewing Company,"Tucson, AZ",American Porter,16 oz.,7.10%,16
Big Blue Van,College Street Brewhouse and Pub,"Lake Havasu City, AZ",Fruit / Vegetable Beer,16 oz.,5.80%,N/A
Weize Guy,Joseph James Brewing Company,"Henderson, NV",Hefeweizen,12 oz.,5.00%,15
UFO Gingerland,Harpoon Brewery,"Boston, MA",Herbed / Spiced Beer,12 oz.,5.20%,15
Palate Mallet,Back East Brewing Company,"Bloomfield, CT",American Double / Imperial IPA,12 oz.,8.60%,N/A
Stickin' In My Rye,Champion Brewing Company,"Charlottesville, VA",Rye Beer,24 oz.,7.00%,N/A
Black Me Stout,Champion Brewing Company,"Charlottesville, VA",American Stout,12 oz.,6.00%,45
Killer Kolsch,Champion Brewing Company,"Charlottesville, VA",Kölsch,12 oz.,5.00%,22
Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),16 oz,5.50%,40
Fear of a Brett Planet,Round Guys Brewing,"Lansdale, PA",American Pale Ale (APA),12 oz.,5.10%,N/A
Dankosaurus,Cedar Creek Brewery,"Seven Points, TX",American IPA,16 oz.,6.80%,70
Bravo Four Point,Devil's Backbone Brewing Company,"Lexington, VA",American Pale Ale (APA),12 oz.,4.40%,45
Cream Ale,Newburgh Brewing Company,"Newburgh, NY",Cream Ale,12 oz.,4.20%,35
Headless Wylie,Rivertowne Brewing Company,"Export, PA",Pumpkin Ale,12 oz.,8.00%,N/A
Dayman IPA,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.00%,N/A
Tarasque,Wiseacre Brewing Company,"Memphis, TN",Saison / Farmhouse Ale,12 oz.,5.90%,N/A
Might As Well IPL,Golden Road Brewing,"Los Angeles, CA",American Pale Lager,16 oz.,7.20%,75
Captain's Daughter,Grey Sail Brewing Company,"Westerly, RI",American Double / Imperial IPA,12 oz.,8.50%,69
Skylight,New Republic Brewing Company,"College Station, TX",Dunkelweizen,12 oz.,5.60%,20
Kadigan,New Republic Brewing Company,"College Station, TX",American Blonde Ale,12 oz.,5.60%,30
Dammit Jim!,New Republic Brewing Company,"College Station, TX",American Amber / Red Ale,12 oz.,5.20%,50
Arjuna,Anthem Brewing Company,"Oklahoma City, OK",Witbier,12 oz.,6.00%,N/A
Uroboros,Anthem Brewing Company,"Oklahoma City, OK",American Stout,12 oz,8.50%,N/A
Infamous IPA,Infamous Brewing Company,"Austin, TX",American IPA,12 oz.,7.00%,75
The Gilded Age,Two Henrys Brewing Company,"Plant City, FL",Munich Helles Lager,12 oz.,4.50%,N/A
Getaway,Lift Bridge Brewing Company,"Stillwater, MN",German Pilsener,16 oz.,5.20%,30
Kolschtal Eddy,The Dudes' Brewing Company,"Torrance, CA",Kölsch,16 oz,5.50%,N/A
South Bay Session IPA,The Dudes' Brewing Company,"Torrance, CA",American IPA,16 oz.,5.00%,N/A
Pub Ale,Lucky Town Brewing Company,"Jackson, MS",English Dark Mild Ale,12 oz.,3.80%,18
Ballistic Blonde,Lucky Town Brewing Company,"Jackson, MS",Belgian Pale Ale,12 oz.,5.10%,31
Golden Fleece,Quest Brewing Company,"Greenville, SC",Belgian Pale Ale,12 oz.,4.50%,35
Smoking Mirror,Quest Brewing Company,"Greenville, SC",American Porter,12 oz.,5.50%,30
Tropicalia,Creature Comforts,"Athens, GA",American IPA,12 oz.,6.50%,65
Athena,Creature Comforts,"Athens, GA",Berliner Weissbier,12 oz,4.50%,N/A
Hyzer Flip,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.20%,N/A
Pursuit,Half Full Brewery,"Stamford, CT",American IPA,12 oz,7.00%,40
Vertex IPA,Destihl Brewery,"Bloomington, IL",American IPA,12 oz.,6.30%,76
Montauk Light,Southampton Publick House,"Southampton, NY",Light Lager,12 oz.,3.50%,N/A
Pepper in the Rye,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz,6.30%,N/A
Winter White,Bell's Brewery,"Kalamazoo, MI",Witbier,16 oz.,5.00%,N/A
Here Gose Nothin',Destihl Brewery,"Bloomington, IL",Gose,12 oz.,5.00%,12
Enlighten,Chapman's Brewing,"Angola, IN",Kölsch,16 oz.,4.50%,N/A
Ale Cider,Chapman's Brewing,"Angola, IN",Fruit / Vegetable Beer,16 oz.,6.50%,8
Pail Ale,Chapman's Brewing,"Angola, IN",American Pale Ale (APA),16 oz.,5.50%,30
Englishman,Chapman's Brewing,"Angola, IN",English Brown Ale,16 oz.,4.50%,N/A
Strawberry Blonde,Destihl Brewery,"Bloomington, IL",Fruit / Vegetable Beer,12 oz,5.00%,N/A
Operation Homefront,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz,6.20%,65
Wandering Pelican,Cigar City Brewing Company,"Tampa, FL",American Black Ale,12 oz.,8.20%,65
Sugar Plum,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.50%,N/A
Oktoberfest,Cigar City Brewing Company,"Tampa, FL",Märzen / Oktoberfest,12 oz.,5.50%,N/A
Puppy's Breath Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz,6.00%,N/A
Happening Now,Cigar City Brewing Company,"Tampa, FL",American IPA,12 & 16 oz.,4.50%,N/A
Element 29,Epic Brewing,"Denver, CO",American Pale Ale (APA),12 oz.,5.20%,N/A
Norm's Gateway IPA,Griffin Claw Brewing Company,"Birmingham, MI",American IPA,12 oz.,4.00%,55
Moe Lasses',Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz,6.40%,N/A
Barrio Blanco,Barrio Brewing Company,"Tucson, AZ",American IPA,12 oz.,6.00%,60
Hop Syndrome,Epic Brewing,"Denver, CO",American Pale Lager,12 oz.,5.00%,N/A
Escape to Colorado,Epic Brewing,"Denver, CO",American IPA,12 oz,6.20%,N/A
Giant DIPA,Santa Cruz Mountain Brewing,"Santa Cruz, CA",American Double / Imperial IPA,16 oz.,8.90%,88
Fistful Of Hops Red,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.40%,75
Fistful of Hops Orange,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.30%,75
Fistful Of Hops Blue,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.40%,75
Old Detroit,Frankenmuth Brewery,"Frankenmuth, MI",American Amber / Red Ale,12 oz,5.60%,N/A
Pumpkin Tart,Brewery Vivant,"Grand Rapids, MI",Fruit / Vegetable Beer,16 oz.,7.00%,N/A
Fistful of Hops Green,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.40%,75
Oktoberfest,SanTan Brewing Company,"Chandler, AZ",Märzen / Oktoberfest,12 oz.,5.50%,N/A
The Great Pumpcan,Madtree Brewing Company,"Cincinnati, OH",Fruit / Vegetable Beer,16 oz.,7.90%,18
Panther,Rhinegeist Brewery,"Cincinnati, OH",American Porter,12 oz.,5.80%,35
Franz,Rhinegeist Brewery,"Cincinnati, OH",Märzen / Oktoberfest,12 oz.,5.20%,21
Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.70%,18
Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,16 oz.,5.80%,N/A
Two Hearted,Bell's Brewery,"Kalamazoo, MI",American IPA,16 oz.,7.00%,N/A
Shift,New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,12 oz.,5.00%,29
Bushwhacker Cider,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz,6.90%,N/A
Weim-R-Iner,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.90%,N/A
Cherry Bomb,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.90%,N/A
Brontide,Stillwater Artisanal Ales,"Baltimore, MD",American Black Ale,12 oz.,5.00%,N/A
Greenwood Beach,Temperance Beer Company,"Evanston, IL",Fruit / Vegetable Beer,12 oz.,4.00%,N/A
Hardcore Chimera,Finch's Beer Company,"Chicago, IL",American Double / Imperial IPA,16 oz.,9.00%,N/A
Troll Destroyer,18th Street Brewery,"Gary, IN",Belgian IPA,12 oz.,8.50%,N/A
Bitter Bitch,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz,6.10%,60
1554 Black Lager,New Belgium Brewing Company,"Fort Collins, CO",Euro Dark Lager,12 oz,5.60%,21
Undertaker,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.70%,N/A
Undertaker (2014),Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.70%,N/A
Blue Paddle,New Belgium Brewing Company,"Fort Collins, CO",Czech Pilsener,12 oz.,4.80%,N/A
Coq D'Or,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,5.00%,N/A
North French,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.00%,N/A
LuckenBock,South Austin Brewery,"South Austin, TX",Bock,16 oz.,7.00%,18
Texas Pale Ale (TPA),South Austin Brewery,"South Austin, TX",American IPA,16 oz.,5.50%,40
6 String Saison,South Austin Brewery,"South Austin, TX",Saison / Farmhouse Ale,16 oz.,8.00%,N/A
Kol' Beer,South Austin Brewery,"South Austin, TX",Kölsch,16 oz.,5.00%,22
FMB 101,Figueroa Mountain Brewing Company,"Buellton, CA",Kölsch,12 oz.,4.80%,20
General George Patton Pilsner,Evil Czech Brewery,"Mishawaka, IN",Czech Pilsener,16 oz.,5.40%,48
Wagon Party,Bauhaus Brew Labs,"Minneapolis, MN",California Common / Steam Beer,12 oz.,5.40%,55
Sky-Five,Bauhaus Brew Labs,"Minneapolis, MN",American IPA,12 oz.,6.70%,70
Stargrazer,Bauhaus Brew Labs,"Minneapolis, MN",Schwarzbier,12 oz.,5.00%,28
Wonderstuff,Bauhaus Brew Labs,"Minneapolis, MN",German Pilsener,12 oz.,5.40%,48
Sensi Harvest,Sixpoint Craft Ales,"Brooklyn, NY",American Pale Ale (APA),12 oz.,4.70%,50
Ozark American Pale Ale,Ozark Beer Company,"Rogers, AR",American Pale Ale (APA),12 oz.,4.00%,39
Saison Pamplemousse,Golden Road Brewing,"Los Angeles, CA",Saison / Farmhouse Ale,12 oz.,5.80%,35
Agent a Deux,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz,6.50%,N/A
Belgian Wit,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,4.50%,N/A
805 Blonde Ale,Firestone Walker Brewing Company,"Paso Robles, CA",American Blonde Ale,12 oz,4.70%,N/A
Farmer's Daughter Wheat,People's Brewing Company,"Lafayette, IN",American Pale Wheat Ale,12 oz.,4.20%,N/A
Best Brown,Bell's Brewery,"Kalamazoo, MI",American Brown Ale,16 oz.,5.80%,N/A
Ghost Ship White IPA,Capital Brewery,"Middleton, WI",American IPA,12 oz.,5.60%,55
Honey Lav,Blackrocks Brewery,"Marquette, MI",American Pale Wheat Ale,12 oz.,5.20%,N/A
Train Wreck,Mountain Town Brewing Company,"Mount Pleasant, MI",American Amber / Red Ale,16 oz,8.20%,N/A
Upland Wheat Ale,Upland Brewing Company,"Bloomington, IN",Witbier,16 oz.,4.50%,15
Dragonfly IPA,Upland Brewing Company,"Bloomington, IN",American IPA,16 oz.,6.00%,N/A
Pothole Stout,Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz.,6.30%,N/A
30 Min Coma,Sun King Brewing Company,"Indianapolis, IN",Belgian IPA,16 oz,???,N/A
Tree Bucket,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.30%,N/A
Overgrown American Pale Ale,Otter Creek Brewing,"Waterbury, VT",American Pale Ale (APA),12 oz.,5.50%,55
Birdhouse Pale Ale,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,5.00%,N/A
Incredible Pedal IPA,Denver Beer Company,"Denver, CO",American IPA,12 oz.,7.00%,N/A
Graham Cracker Porter,Denver Beer Company,"Denver, CO",American Porter,12 oz.,5.00%,N/A
Rudie Session IPA,Ska Brewing Company,"Durango, CO",American IPA,12 oz.,4.50%,N/A
Monkey Chased the Weasel,Carton Brewing Company,"Atlantic Highlands, NJ",Berliner Weissbier,16 oz.,3.90%,9
077XX,Carton Brewing Company,"Atlantic Highlands, NJ",American Double / Imperial IPA,16 oz.,7.80%,80
Gatecrasher,Temperance Beer Company,"Evanston, IL",English India Pale Ale (IPA),12 oz.,6.60%,N/A
Almanac IPA,Tractor Brewing Company,"Albuquerque, NM",American IPA,12 oz.,6.20%,72
Milk Mustachio Stout,Tractor Brewing Company,"Albuquerque, NM",Milk / Sweet Stout,12 oz.,6.50%,N/A
Farmer's Tan Red Ale,Tractor Brewing Company,"Albuquerque, NM",American Amber / Red Ale,12 oz.,6.00%,30
Zen,Rhinegeist Brewery,"Cincinnati, OH",American Pale Ale (APA),12 oz.,4.30%,45
SunSpot Golden Ale,SanTan Brewing Company,"Chandler, AZ",American Blonde Ale,12 oz.,5.00%,15
Missile IPA,Champion Brewing Company,"Charlottesville, VA",American IPA,12 oz.,7.00%,65
Thai Style White IPA,Upslope Brewing Company,"Boulder, CO",American White IPA,12 oz.,6.50%,33
Fresh Cut Pilsner,Peak Organic Brewing Company,"Portland, ME",American Pilsner,12 oz.,4.60%,N/A
Summer Session Ale,Peak Organic Brewing Company,"Portland, ME",American Pale Wheat Ale,12 oz.,5.00%,61
Second Fiddle,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.20%,80
Cape Cod Red,Cape Cod Beer,"Hyannis, MA",American Amber / Red Ale,16 oz.,5.50%,35
Beach Blonde,Cape Cod Beer,"Hyannis, MA",American Blonde Ale,16 oz.,4.90%,10
Long Trail IPA,Long Trail Brewing Company,"Bridgewater Corners, VT",English India Pale Ale (IPA),12 oz.,5.90%,42
Trader Session IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,4.00%,42
Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",American Amber / Red Ale,12 oz.,4.60%,30
Commotion APA,Great Raft Brewing Company,"Shreveport, LA",American Pale Ale (APA),12 oz.,5.20%,49
Southern Drawl Pale Lager,Great Raft Brewing Company,"Shreveport, LA",American Pale Lager,12 oz.,5.20%,N/A
Freeride APA,Alaskan Brewing Company,"Juneau, AK",American Pale Ale (APA),12 oz.,5.30%,40
Alaskan Amber,Alaskan Brewing Company,"Juneau, AK",Altbier,12 oz.,5.30%,18
Yonder Bock,Sierra Nevada Brewing Company,"Chico, CA",Maibock / Helles Bock,12 oz.,6.00%,N/A
CANfusion Rye Bock,Sierra Nevada Brewing Company,"Chico, CA",Rye Beer,12 oz.,6.00%,N/A
Left of the Dial IPA,Notch Brewing Company,"Ipswich, MA",American IPA,12 oz.,4.30%,N/A
Petit Mutant,The Alchemist,"Waterbury, VT",American Wild Ale,16 oz.,6.00%,N/A
The Crusher,The Alchemist,"Waterbury, VT",American Double / Imperial IPA,16 oz.,9.60%,N/A
Beelzebub,The Alchemist,"Waterbury, VT",American Double / Imperial Stout,16 oz.,8.00%,N/A
Hydraulion Red,Three Notch'd Brewing Company,"Charlottesville, VA",Irish Red Ale,12 oz.,5.30%,22
40 Mile IPA,Three Notch'd Brewing Company,"Charlottesville, VA",American IPA,12 oz.,6.00%,50
Suicide Squeeze IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,4.50%,N/A
Lake House,Capital Brewery,"Middleton, WI",Munich Helles Lager,16 oz.,4.60%,18
Big Chuck Barleywine,Portside Brewery,"Cleveland, OH",American Barleywine,12 oz.,9.90%,N/A
Fresh Slice White IPA,Otter Creek Brewing,"Middlebury, VT",American White IPA,12 oz.,5.50%,45
Montauk Summer Ale,Montauk Brewing Company,"Montauk, NY",American Blonde Ale,12 oz.,5.60%,28
Driftwood Ale,Montauk Brewing Company,"Montauk, NY",Extra Special / Strong Bitter (ESB),12 oz.,6.00%,49
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,"Chico, CA",American Pale Ale (APA),16 oz.,5.60%,37
White Rabbit,Independence Brewing Company,"Austin, TX",Witbier,12 oz.,5.90%,27
Let It Ride IPA,Indeed Brewing Company,"Minneapolis, MN",American IPA,12 oz.,6.80%,90
14° ESB,Bent Paddle Brewing Company,"Duluth, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,32
Bent Hop Golden IPA,Bent Paddle Brewing Company,"Duluth, MN",American IPA,12 oz.,6.20%,68
Lost Sailor IPA,Berkshire Brewing Company,"South Deerfield, MA",English India Pale Ale (IPA),12 oz.,5.50%,40
La Ferme Urbaine Farmhouse Ale,Foolproof Brewing Company,"Pawtucket, RI",Saison / Farmhouse Ale,12 oz.,7.80%,N/A
Blackmarket Rye IPA,Black Market Brewing Company,"Temecula, CA",American IPA,12 oz.,7.50%,35
Black Market Hefeweizen,Black Market Brewing Company,"Temecula, CA",Hefeweizen,12 oz.,5.00%,8
Aftermath Pale Ale,Black Market Brewing Company,"Temecula, CA",American Pale Ale (APA),12 oz.,5.80%,44
Groupe G,Headlands Brewing Company,"Mill Valley, CA",Belgian IPA,16 oz.,7.60%,65
Pt. Bonita Rustic Lager,Headlands Brewing Company,"Mill Valley, CA",American Pale Lager,16 oz.,6.20%,40
Hill 88 Double IPA,Headlands Brewing Company,"Mill Valley, CA",American Double / Imperial IPA,16 oz.,8.80%,77
Longhop IPA,Bolero Snort Brewery,"Ridgefield Park, NJ",American IPA,16 oz.,4.20%,30
Lucky Buck,Bolero Snort Brewery,"Ridgefield Park, NJ",Irish Dry Stout,16 oz.,4.00%,34
Leatherhead Red,Thunderhead Brewing Company,"Kearney, NE",American Amber / Red Ale,12 oz.,5.20%,N/A
Hoperation Overload,Destihl Brewery,"Bloomington, IL",American Double / Imperial IPA,12 oz.,9.60%,85
Abbey's Single Ale (Current),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.90%,22
Thrasher Session India Pale Ale,Defiance Brewing Company,"Hays, KS",American IPA,12 oz.,4.50%,44
Gutch English Style Mild Ale,Defiance Brewing Company,"Hays, KS",English Pale Mild Ale,12 oz.,5.00%,16
Hop Freak,Milwaukee Brewing Company,"Milwaukee, WI",American Double / Imperial IPA,16 oz.,8.70%,80
Centennial State Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2,5.20%,N/A
Whitecap Wit,Catawba Island Brewing,"Port Clinton, OH",Witbier,16 oz.,4.80%,16
Seiche Scottish Ale,Catawba Island Brewing,"Port Clinton, OH",Scottish Ale,16 oz.,7.80%,16
All Aboard! Anniversary Stout,Rivertowne Brewing Company,"Export, PA",Oatmeal Stout,12 oz.,7.10%,N/A
Hop Lace,Rivertowne Brewing Company,"Export, PA",American White IPA,12 oz.,6.20%,N/A
OH-PA Session Pale Ale,Rivertowne Brewing Company,"Export, PA",American Pale Ale (APA),12 oz.,4.80%,N/A
Patrick's Poison,Rivertowne Brewing Company,"Export, PA",American Amber / Red Ale,12 oz.,8.00%,N/A
Truck Stop Honey Brown Ale,Back Forty Beer Company,"Gadsden, AL",English Brown Ale,12 oz.,6.00%,N/A
Naked Pig Pale Ale,Back Forty Beer Company,"Gadsden, AL",American Pale Ale (APA),12 oz.,6.00%,43
El Chingon IPA,Four Corners Brewing Company,"Dallas, TX",American IPA,12 oz.,7.60%,73
Block Party Robust Porter,Four Corners Brewing Company,"Dallas, TX",American Porter,12 oz.,5.70%,40
Local Buzz,Four Corners Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.20%,20
Contact High,4 Hands Brewing Company,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,5.00%,28
Saint Archer White Ale,Saint Archer Brewery,"San Diego, CA",Witbier,12 oz.,5.00%,15
Saint Archer IPA,Saint Archer Brewery,"San Diego, CA",American IPA,12 oz.,6.80%,66
Saint Archer Pale Ale,Saint Archer Brewery,"San Diego, CA",American Pale Ale (APA),12 oz.,5.20%,40
Saint Archer Blonde,Saint Archer Brewery,"San Diego, CA",Kölsch,12 oz.,4.80%,22
BLAKKR,Real Ale Brewing Company,"Blanco, TX",American Black Ale,12 oz.,9.90%,85
Rogue American Amber Ale,Rogue Ales,"Newport, OR",American Amber / Red Ale,16 oz.,5.10%,N/A
Old Chub NITRO,Oskar Blues Brewery,"Longmont, CO",Scotch Ale / Wee Heavy,16 oz.,8.00%,N/A
Hodad Porter,Fiddlehead Brewing Company,"Shelburne, VT",American Porter,16 oz.,5.50%,30
Supergoose IPA,Hale's Ales,"Seattle, WA",American IPA,12 oz.,6.90%,67
IPA & a Half,Tommyknocker Brewery,"Idaho Springs, CO",American IPA,12 oz.,7.30%,87
Tarnation California-Style Lager,Baxter Brewing Company,"Lewiston, ME",California Common / Steam Beer,12 oz.,5.30%,N/A
Blue Boots IPA,Northampton Brewery,"Northamtpon, MA",American IPA,16 oz.,6.90%,N/A
Ferus Fluxus Wild Belgian Pale Ale,Upslope Brewing Company,"Boulder, CO",American Wild Ale,19.2 oz.,7.50%,30
Truth,Rhinegeist Brewery,"Cincinnati, OH",American IPA,12 oz.,7.20%,75
Cougar,Rhinegeist Brewery,"Cincinnati, OH",American Blonde Ale,12 oz.,4.80%,25
American India Red Ale,Black Shirt Brewing Company,"Denver, CO",American Strong Ale,12 oz.,7.10%,83
American Red Porter,Black Shirt Brewing Company,"Denver, CO",American Porter,12 oz.,7.10%,45
American Red Saison,Black Shirt Brewing Company,"Denver, CO",Saison / Farmhouse Ale,12 oz.,7.80%,34
Colorado Red Ale,Black Shirt Brewing Company,"Denver, CO",American Amber / Red Ale,12 oz.,6.60%,44
Wachusett Light IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4.00%,37
Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,6.00%,55
Wachusett IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,5.60%,50
Strawberry White,Wachusett Brewing Company,"Westminster, MA",Witbier,12 oz.,4.70%,N/A
Original Slacker Ale,Round Guys Brewing,"Lansdale, PA",English Brown Ale,12 oz.,5.60%,40
Alpha Blackback,Round Guys Brewing,"Lansdale, PA",American Black Ale,12 oz.,7.20%,N/A
Chin Music Amber Lager,Center of the Universe Brewing C...,"Ashland, VA",American Amber / Red Lager,12 oz.,4.50%,24
Hefe Lemon,Widmer Brothers Brewing Company,"Portland, OR",Radler,12 oz.,4.90%,30
Hefe Black,Widmer Brothers Brewing Company,"Portland, OR",Hefeweizen,12 oz.,4.90%,30
Widmer Brothers Hefeweizen,Widmer Brothers Brewing Company,"Portland, OR",Hefeweizen,12 oz.,4.90%,30
Provision,Hop Farm Brewing Company,"Pittsburgh, PA",Saison / Farmhouse Ale,12 oz.,4.20%,25
One Nut Brown,Hop Farm Brewing Company,"Pittsburgh, PA",American Brown Ale,12 oz.,4.70%,28
Hop Farm IPA,Hop Farm Brewing Company,"Pittsburgh, PA",American IPA,12 oz.,5.80%,45
Adam's Stout,Liquid Hero Brewery,"York, PA",American Stout,12 oz.,5.80%,40
Our Legacy IPA,Matt Brewing Company,"Utica, NY",American IPA,12 oz.,6.50%,60
Porch Rocker,Boston Beer Company,"Boston, MA",Radler,12 oz.,4.50%,8
312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,4.20%,18
Hopsmith Pale Lager,Old Forge Brewing Company,"Danville, PA",American Pale Lager,16 oz.,6.00%,N/A
Deep Ellum Pale Ale,Deep Ellum Brewing Company,"Dallas, TX",American Pale Ale (APA),12 oz.,6.00%,N/A
Squatters Full Suspension Pale Ale,Utah Brewers Cooperative,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.00%,N/A
Squatters Hop Rising Double IPA,Utah Brewers Cooperative,"Salt Lake City, UT",American Double / Imperial IPA,12 oz.,9.00%,75
Devastator Double Bock,Utah Brewers Cooperative,"Salt Lake City, UT",Doppelbock,12 oz.,8.00%,N/A
Wasatch Ghostrider White IPA,Utah Brewers Cooperative,"Salt Lake City, UT",American White IPA,12 oz.,6.00%,N/A
Bitter Biker Double IPA,Spiteful Brewing Company,"Chicago, IL",American Double / Imperial IPA,12 oz.,9.60%,N/A
Ghost Bike Pale Ale,Spiteful Brewing Company,"Chicago, IL",American Pale Ale (APA),16 oz.,7.30%,N/A
Spiteful IPA,Spiteful Brewing Company,"Chicago, IL",American IPA,12 oz.,6.20%,N/A
Keebarlin' Pale Ale,Anderson Valley Brewing Company,"Boonville, CA",American Pale Ale (APA),12 oz.,4.20%,N/A
Klingon Warnog Roggen Dunkel,Tin Man Brewing Company,"Evansville, IN",Roggenbier,16 oz.,5.50%,N/A
LIFT,Madtree Brewing Company,"Cincinnati, OH",Kölsch,12 oz.,4.70%,11
SPRYE,Madtree Brewing Company,"Cincinnati, OH",American Pale Ale (APA),12 oz.,5.00%,40
Pleasure Town IPA,Midnight Sun Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.30%,61
#9,Magic Hat Brewing Company,"South Burlington, VT",Fruit / Vegetable Beer,16 oz.,5.10%,20
Quarter Mile Double IPA,Blue Hills Brewery,"Canton, MA",American Double / Imperial IPA,12 oz.,8.00%,80
Marblehead,Night Shift Brewing,"Everett, MA",American Amber / Red Ale,16 oz.,5.50%,N/A
Focal Banger,The Alchemist,"Waterbury, VT",American IPA,16 oz.,7.00%,N/A
The Tradition,DC Brau Brewing Company,"Washington, DC",American Blonde Ale,12 oz.,5.00%,15
Pilot Rock Porter,Caldera Brewing Company,"Ashland, OR",American Porter,12 oz.,6.00%,N/A
Maine Island Trail Ale,Rising Tide Brewing Company,"Portland, ME",American Pale Ale (APA),16 oz.,4.30%,N/A
Hoptopus Double IPA,Beach Brewing Company,"Virginia Beach, VA",American Double / Imperial IPA,16 oz.,8.80%,108
Rodeo Rye Pale Ale,Payette Brewing Company,"Garden City, ID",American Pale Ale (APA),12 oz.,4.20%,35
Mjöllnir,Crow Peak Brewing Company,"Spearfish, SD",Herbed / Spiced Beer,12 oz.,6.60%,N/A
Java the Hop,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,6.50%,N/A
"You're My Boy, Blue",Brew Bus Brewing,"Tampa, FL",Fruit / Vegetable Beer,12 oz.,5.00%,N/A
Last Stop IPA,Brew Bus Brewing,"Tampa, FL",American IPA,12 oz.,7.20%,60
Rollin Dirty Red Ale,Brew Bus Brewing,"Tampa, FL",Irish Red Ale,12 oz.,5.00%,21
Are Wheat There Yet?,Brew Bus Brewing,"Tampa, FL",American Pale Wheat Ale,12 oz.,5.50%,28
Thanksgiving Ale,Sockeye Brewing Company,"Boise, ID",Kölsch,12 oz.,5.00%,N/A
Black Bay Milk Stout,Pine Street Brewery,"San Francisco, CA",Milk / Sweet Stout,12 oz.,5.00%,N/A
The CROWLER™,Oskar Blues Brewery,"Longmont, CO",,32 oz.,???,N/A
Filthy Hoppin' IPA,Dirty Bucket Brewing Company,"Woodinville, WA",American IPA,16 oz.,6.50%,72
People's Pilsner,People's Brewing Company,"Lafayette, IN",German Pilsener,12 oz.,4.50%,N/A
Thunder Ann,Jackalope Brewing Company,"Nashville, TN",American Pale Ale (APA),12 oz.,5.50%,37
Iron Butt Red Ale,Slanted Rock Brewing Company,"Meridian, ID",American Amber / Red Ale,12 oz.,5.80%,39
Hot Date Ale,Piney River Brewing Company,"Bucryus, MO",Chile Beer,16 oz.,6.00%,20
CAN'D AID Foundation,Oskar Blues Brewery,"Longmont, CO",,12 oz.,???,N/A
